,price,os,utility,weight,screen_size,resolution,ppi,battery,Brand,X_res,Y_res,Processor Name,Processor Gen,GPU_Brand,GPU_Model,Ram,Ram_Type,SSD,HDMI_port,LAN_port,USB_Port,Type-C
707,11.472009716055167,Windows, Performance,1.1442228555679321,15.600000381469727,1920 x 1080,141.0,55.0,HP,1920,1080.0,Intel core i5,13.0,Intel,INTEGRATED,16.0,LPDDR5,512.0,1,0,2,2
708,10.341452118734878,Windows, Performance,0.9516578912734985,15.600000381469727,1920 x 1080,141.0,36.0,Acer,1920,1080.0,Intel core i3,11.0,Intel,UHD,8.0,DDR4,256.0,1,1,3,1
709,10.691740346523579,Windows, Performance,0.9631743431091309,15.600000381469727,1920 x 1080,157.0,47.0,Lenovo,1920,1080.0,Intel core i3,13.0,Intel,INTEGRATED,8.0,LPDDR5,512.0,1,0,2,1
710,11.390656130909488,Windows, Performance,1.1442228555679321,15.600000381469727,1920 x 1080,141.0,55.0,HP,1920,1080.0,Intel core i5,13.0,Intel,INTEGRATED,16.0,LPDDR5,512.0,1,0,2,2
711,10.976628175230568,Windows,Everyday,0.9162907600402832,14.0,1920 x 1200,162.0,54.0,Dell,1920,1200.0,Intel core i3,13.0,Intel,UHD,8.0,LPDDR5,1024.0,1,0,1,2
712,11.357452244304588,Windows, Performance,1.1442228555679321,15.600000381469727,1920 x 1080,141.0,55.0,HP,1920,1080.0,Amd ryzen 7,7.0,AMD,RADEON,16.0,LPDDR5,512.0,1,0,2,2
713,10.54510456855174,Windows, Performance,0.8754687309265137,14.0,1920 x 1080,141.0,41.0,HP,1920,1080.0,Amd ryzen 3,7.0,AMD,RADEON,8.0,LPDDR5,512.0,1,0,2,1
714,10.38563588541525,Windows, Performance,0.9516578912734985,15.600000381469727,1920 x 1080,141.0,36.0,Acer,1920,1080.0,Intel core i3,11.0,Intel,UHD,8.0,DDR4,512.0,1,1,3,1
715,10.839580911706463,Windows,Everyday,0.6931471824645996,14.0,1920 x 1080,157.0,45.0,Lenovo,1920,1080.0,Amd ryzen 5,7.0,AMD,RADEON,16.0,DDR4,512.0,1,1,2,2
716,10.896572644989313,Windows,Everyday,0.9932518005371094,15.600000381469727,1920 x 1080,141.0,45.0,Lenovo,1920,1080.0,Intel core i5,12.0,Intel,IRIS,8.0,DDR4,512.0,1,1,2,2
717,11.148952526764623,Windows,ALL,0.8754687309265137,14.0,1920 x 1080,189.0,51.0,HP,1920,1080.0,Intel core i5,13.0,Intel,IRIS,16.0,DDR4,512.0,1,0,2,2
718,12.055197428845164,Windows, Performance,1.1314020156860352,15.600000381469727,2560 x 1440,141.0,53.5,MSI,2560,1380.0,Intel core i7,13.0,Nvidia,RTX,16.0,DDR5,1024.0,1,1,2,2
719,11.001949829953112,Windows, Performance,1.0296194553375244,15.600000381469727,1920 x 1080,141.0,70.0,Infinix,1920,1080.0,Intel core i7,13.0,Intel,INTEGRATED,16.0,LPDDR5,512.0,1,0,4,2
720,11.657536501029403,Windows,ALL,1.1786550283432007,15.600000381469727,1920 x 1080,141.0,52.5,Others,1920,1080.0,Amd ryzen 5,6.0,Nvidia,INTEGRATED,16.0,DDR5,1024.0,1,1,2,1
721,10.126271039034782,Windows,Everyday,0.6931471824645996,14.0,1920 x 1200,193.5,46.20000076293945,Others,1920,1200.0,Intel core i3,3.0,Intel,UHD,8.0,DDR4,512.0,1,0,2,1
722,10.975088291957388,Windows, Performance,0.9162907600402832,14.0,1920 x 1080,157.0,52.5,Lenovo,1920,1080.0,Intel core i3,12.0,Intel,INTEGRATED,8.0,LPDDR4,512.0,1,0,2,1
723,11.669937760751914,Windows,ALL,1.0188473463058472,15.600000381469727,1920 x 1080,141.0,55.0,HP,1920,1080.0,Intel core i7,13.0,Intel,IRIS,16.0,LPDDR5,1024.0,1,0,2,2
